P_date,R_no,N_product_purchased,N_units,Cost,Total_product_purchase,Type_purchase,Type_logistic,PRODUCTO,P_code_CLASS,P_code_NUM,PURCHASING_REGION,PURCHASING_HOSPITAL,PURCHASING_DEPARTMENT,N_Order_PEDIDO,YEAR,MONTH,DAYOFMONTH,DAYOFYEAR,time_idx
2015-01-07,66974941,400,100,20.37037,81.48148,Minor purchase,STORABLE,APOSITO ABSORBENTE S/ ADHESIVO-25,E,67835,0,10,1,6722,2015,0.49999999999999994,0.9884683243281114,0.1202080448993527,2
2015-01-08,157028.4,230,10,35.2,809.6,Minor purchase,STORABLE,APOSITO MALLADO C/ PARAFINA-39,E,65894,0,6,1,9763,2015,0.49999999999999994,0.9987165071710528,0.13727877211326478,3
2015-01-08,37147,1280,640,68.288,136.576,Minor purchase,STORABLE,APÓSITO ABSORBENTE C/ ADHESIVO-22,E,64764,0,6,1,9595,2015,0.49999999999999994,0.9987165071710528,0.13727877211326478,3
2015-01-08,39001,35,5,5.24537,36.71759,Minor purchase,STORABLE,HIDROGEL-37,E,64932,0,6,1,9427,2015,0.49999999999999994,0.9987165071710528,0.13727877211326478,3
2015-01-08,413568,100,5,29.15,583.0,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,0,13,1,9444,2015,0.49999999999999994,0.9987165071710528,0.13727877211326478,3
2015-01-08,39001,190,5,5.24537,199.32406,Minor purchase,STORABLE,HIDROGEL-37,E,64932,0,13,1,9431,2015,0.49999999999999994,0.9987165071710528,0.13727877211326478,3
2015-01-08,400403,20,10,102.803729,205.607458,Minor purchase,STORABLE,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,B,41691,0,4,1,9339,2015,0.49999999999999994,0.9987165071710528,0.13727877211326478,3
2015-01-09,20415,100,50,254.1,508.2,Minor purchase,STORABLE,APOSITO DE ESPUMA POLIURETANO / SACRO-11,E,65007,0,0,2,13131,2015,0.49999999999999994,0.9680771188662043,0.15430882066428117,4
2015-01-09,20415,100,50,254.1,508.2,Minor purchase,STORABLE,APOSITO DE ESPUMA POLIURETANO / SACRO-11,E,65007,0,10,1,13133,2015,0.49999999999999994,0.9680771188662043,0.15430882066428117,4
2015-01-09,1624W,2000,400,58.8,294.0,Minor purchase,STORABLE,APÓSITO TRANSPARENTE ADHESIVO-24,E,64751,0,10,1,12856,2015,0.49999999999999994,0.9680771188662043,0.15430882066428117,4
2015-01-09,31150,315,5,8.250039,519.752457,Minor purchase,STORABLE,APOSITO DE HIDROCOLOIDE-3,E,65485,0,10,1,13053,2015,0.49999999999999994,0.9680771188662043,0.15430882066428117,4
2015-01-09,1494.00,350,350,169.4,169.4,Minor purchase,STORABLE,TIRA DE GASA ORILLADA TAPONAMIENTOS ESTERIL 1cm.-30,C,26183,0,13,1,10521,2015,0.49999999999999994,0.9680771188662043,0.15430882066428117,4
2015-01-09,37147,640,640,68.288,68.288,Minor purchase,STORABLE,APÓSITO ABSORBENTE C/ ADHESIVO-22,E,64764,0,13,1,13171,2015,0.49999999999999994,0.9680771188662043,0.15430882066428117,4
2015-01-09,1385,1800,300,61.722222,370.333332,Minor purchase,STORABLE,APÓSITO ABSORBENTE C/ ADHESIVO-23,E,64765,0,18,1,13130,2015,0.49999999999999994,0.9680771188662043,0.15430882066428117,4
2015-01-12,400403,20,10,102.803729,205.607458,Minor purchase,STORABLE,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,B,41691,0,18,1,16357,2015,0.49999999999999994,0.6513724827222223,0.2051044998686192,5
2015-01-12,157028.4,200,10,35.2,704.0,Minor purchase,STORABLE,APOSITO MALLADO C/ PARAFINA-39,E,65894,0,18,1,16418,2015,0.49999999999999994,0.6513724827222223,0.2051044998686192,5
2015-01-13,281 421,5000,1000,10.461204,52.30602,Minor purchase,STORABLE,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,E,65159,0,18,1,19550,2015,0.49999999999999994,0.48530196253108104,0.2219215130041655,6
2015-01-14,400403,40,10,102.803729,411.214916,Minor purchase,STORABLE,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,B,41691,0,6,1,24460,2015,0.49999999999999994,0.29936312297335804,0.2386727660059501,7
2015-01-14,403770,15,5,12.1,36.3,Minor purchase,TRANSIT,APOSITO DE HIDROFIBRA  / CINTA-18,E,64543,0,11,112,25140,2015,0.49999999999999994,0.29936312297335804,0.2386727660059501,7
2015-01-14,413568,60,5,29.15,349.8,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,0,6,1,24661,2015,0.49999999999999994,0.29936312297335804,0.2386727660059501,7
2015-01-14,157027.7,330,10,17.27,569.91,Minor purchase,STORABLE,APOSITO MALLADO C/ PARAFINA-38,E,64983,0,6,1,24965,2015,0.49999999999999994,0.29936312297335804,0.2386727660059501,7
2015-01-14,157027.7,330,10,17.27,569.91,Minor purchase,STORABLE,APOSITO MALLADO C/ PARAFINA-38,E,64983,0,4,1,24957,2015,0.49999999999999994,0.29936312297335804,0.2386727660059501,7
2015-01-14,3533,402,3,1.8513,248.0742,Minor purchase,STORABLE,APOSITO DE HIDROCOLOIDE-9,E,65056,0,18,1,23229,2015,0.49999999999999994,0.29936312297335804,0.2386727660059501,7
2015-01-14,281 421,2000,1000,10.461204,20.922408,Minor purchase,STORABLE,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,E,65159,0,10,1,24938,2015,0.49999999999999994,0.29936312297335804,0.2386727660059501,7
2015-01-14,3533,36,3,1.8513,22.2156,Minor purchase,STORABLE,APOSITO DE HIDROCOLOIDE-9,E,65056,0,4,1,24599,2015,0.49999999999999994,0.29936312297335804,0.2386727660059501,7
2015-01-15,413568,210,5,29.15,1224.3,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,0,10,1,27765,2015,0.49999999999999994,0.10116832198743272,0.255353295116187,8
2015-01-16,39001,335,5,5.24537,351.43979,Minor purchase,STORABLE,HIDROGEL-37,E,64932,0,10,1,32117,2015,0.49999999999999994,-0.10116832198743204,0.2719581575341055,9
2015-01-16,31150,50,5,8.250039,82.50039,Minor purchase,STORABLE,APOSITO DE HIDROCOLOIDE-3,E,65485,0,6,1,32122,2015,0.49999999999999994,-0.10116832198743204,0.2719581575341055,9
2015-01-16,MAP190,400,50,324.85,2598.8,Minor purchase,STORABLE,APOSITO C/ CARBON Y PLATA-4,E,73753,0,18,1,32313,2015,0.49999999999999994,-0.10116832198743204,0.2719581575341055,9
2015-01-16,400403,20,10,102.803729,205.607458,Minor purchase,STORABLE,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,B,41691,0,10,1,32088,2015,0.49999999999999994,-0.10116832198743204,0.2719581575341055,9
2015-01-16,66800248,40,10,26.4,105.6,Minor purchase,STORABLE,APOSITO DE ESPUMA POLIURETANO-8,E,64946,0,6,1,32322,2015,0.49999999999999994,-0.10116832198743204,0.2719581575341055,9
2015-01-16,66800248,30,10,26.4,79.2,Minor purchase,STORABLE,APOSITO DE ESPUMA POLIURETANO-8,E,64946,0,4,1,32319,2015,0.49999999999999994,-0.10116832198743204,0.2719581575341055,9
2015-01-19,403770,5,5,12.1,12.1,Minor purchase,TRANSIT,APOSITO DE HIDROFIBRA  / CINTA-18,E,64543,0,4,130,36065,2015,0.49999999999999994,-0.651372482722222,0.3212696616923644,10
2015-01-19,413568,150,5,29.15,874.5,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,0,0,2,36887,2015,0.49999999999999994,-0.651372482722222,0.3212696616923644,10
2015-01-20,413568,90,5,29.15,524.7,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,0,18,1,39826,2015,0.49999999999999994,-0.7907757369376986,0.3375228995941133,11
2015-01-20,400403,20,10,102.803729,205.607458,Minor purchase,STORABLE,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,B,41691,0,4,1,39770,2015,0.49999999999999994,-0.7907757369376986,0.3375228995941133,11
2015-01-20,281 421,4000,1000,10.461204,41.844816,Minor purchase,STORABLE,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,E,65159,0,10,1,39931,2015,0.49999999999999994,-0.7907757369376986,0.3375228995941133,11
2015-01-20,3760,100,10,14.0,140.0,Minor purchase,STORABLE,APOSITO DE ALGINATO C/ PLATA-6,E,65201,0,10,1,39825,2015,0.49999999999999994,-0.7907757369376986,0.3375228995941133,11
2015-01-21,157027.7,330,10,17.27,569.91,Minor purchase,STORABLE,APOSITO MALLADO C/ PARAFINA-38,E,64983,0,13,1,43695,2015,0.49999999999999994,-0.8978045395707417,0.3536761221763716,12
2015-01-23,413568,60,5,29.15,349.8,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,0,6,1,50991,2015,0.49999999999999994,-0.9987165071710528,0.38566340624360707,13
2015-01-23,420680,100,10,20.9,209.0,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,E,66071,0,0,2,50992,2015,0.49999999999999994,-0.9987165071710528,0.38566340624360707,13
2015-01-23,3533,1002,3,1.8513,618.3342,Minor purchase,STORABLE,APOSITO DE HIDROCOLOIDE-9,E,65056,0,0,2,50918,2015,0.49999999999999994,-0.9987165071710528,0.38566340624360707,13
2015-01-23,157027.7,330,10,17.27,569.91,Minor purchase,STORABLE,APOSITO MALLADO C/ PARAFINA-38,E,64983,0,0,2,51170,2015,0.49999999999999994,-0.9987165071710528,0.38566340624360707,13
2015-01-23,66800248,170,10,26.4,448.8,Minor purchase,STORABLE,APOSITO DE ESPUMA POLIURETANO-8,E,64946,0,10,1,51416,2015,0.49999999999999994,-0.9987165071710528,0.38566340624360707,13
2015-01-26,MAP190,200,50,319.0,1276.0,Minor purchase,STORABLE,APOSITO C/ CARBON Y PLATA-4,E,73753,0,18,1,55954,2015,0.49999999999999994,-0.8486442574947509,0.4327755925504312,14
2015-01-26,420680,200,10,20.9,418.0,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,E,66071,0,0,2,55826,2015,0.49999999999999994,-0.8486442574947509,0.4327755925504312,14
2015-01-26,1626W,400,200,61.6,123.2,Minor purchase,STORABLE,APÓSITO TRANSPARENTE ADHESIVO-20,E,64750,0,4,1,55683,2015,0.49999999999999994,-0.8486442574947509,0.4327755925504312,14
2015-01-26,31100,510,10,6.677003,340.527153,Minor purchase,STORABLE,APOSITO DE HIDROCOLOIDE-6,E,65486,0,10,1,55822,2015,0.49999999999999994,-0.8486442574947509,0.4327755925504312,14
2015-01-26,37147,5760,640,68.288,614.592,Minor purchase,STORABLE,APÓSITO ABSORBENTE C/ ADHESIVO-22,E,64764,0,18,1,55875,2015,0.49999999999999994,-0.8486442574947509,0.4327755925504312,14
2015-01-26,1624W,1200,400,58.8,176.4,Minor purchase,STORABLE,APÓSITO TRANSPARENTE ADHESIVO-24,E,64751,0,4,1,55683,2015,0.49999999999999994,-0.8486442574947509,0.4327755925504312,14
2015-01-26,1624W,800,400,58.8,117.6,Minor purchase,STORABLE,APÓSITO TRANSPARENTE ADHESIVO-24,E,64751,0,0,2,55684,2015,0.49999999999999994,-0.8486442574947509,0.4327755925504312,14
2015-01-26,420680,160,10,20.9,334.4,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,E,66071,0,10,1,55825,2015,0.49999999999999994,-0.8486442574947509,0.4327755925504312,14
2015-01-26,20415,200,50,254.1,1016.4,Minor purchase,STORABLE,APOSITO DE ESPUMA POLIURETANO / SACRO-11,E,65007,0,0,2,55858,2015,0.49999999999999994,-0.8486442574947509,0.4327755925504312,14
2015-01-26,66800248,100,10,26.4,264.0,Minor purchase,STORABLE,APOSITO DE ESPUMA POLIURETANO-8,E,64946,0,4,1,55953,2015,0.49999999999999994,-0.8486442574947509,0.4327755925504312,14
2015-01-26,37147,640,640,68.288,68.288,Minor purchase,STORABLE,APÓSITO ABSORBENTE C/ ADHESIVO-22,E,64764,0,4,1,55874,2015,0.49999999999999994,-0.8486442574947509,0.4327755925504312,14
2015-01-27,1385,600,300,61.722222,123.444444,Minor purchase,STORABLE,APÓSITO ABSORBENTE C/ ADHESIVO-23,E,64765,0,0,2,59902,2015,0.49999999999999994,-0.72479278722912,0.4482293417404106,15
2015-01-27,66800248,40,10,26.4,105.6,Minor purchase,STORABLE,APOSITO DE ESPUMA POLIURETANO-8,E,64946,0,6,1,58721,2015,0.49999999999999994,-0.72479278722912,0.4482293417404106,15
2015-01-29,39001,100,5,5.24537,104.9074,Minor purchase,STORABLE,HIDROGEL-37,E,64932,0,4,1,68776,2015,0.49999999999999994,-0.3943558551133187,0.47873384011578846,16
2015-01-29,403770,5,5,12.1,12.1,Minor purchase,TRANSIT,APOSITO DE HIDROFIBRA  / CINTA-18,E,64543,0,12,80,69753,2015,0.49999999999999994,-0.3943558551133187,0.47873384011578846,16
2015-01-30,413568,180,5,29.15,1049.4,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,0,6,1,71297,2015,0.49999999999999994,-0.20129852008866114,0.49377555015997715,17
2015-01-30,31150,350,5,8.250039,577.50273,Minor purchase,STORABLE,APOSITO DE HIDROCOLOIDE-3,E,65485,0,10,1,70973,2015,0.49999999999999994,-0.20129852008866114,0.49377555015997715,17
2015-02-02,403770,10,5,12.1,24.2,Minor purchase,TRANSIT,APOSITO DE HIDROFIBRA  / CINTA-18,E,64543,0,10,149,76058,2015,0.8660254037844386,0.39435585511331855,0.5380051715382996,18
2015-02-02,3533,48,3,1.8513,29.6208,Minor purchase,STORABLE,APOSITO DE HIDROCOLOIDE-9,E,65056,0,10,1,76684,2015,0.8660254037844386,0.39435585511331855,0.5380051715382996,18
2015-02-03,39001,65,5,5.24537,68.18981,Minor purchase,STORABLE,HIDROGEL-37,E,64932,0,6,1,78831,2015,0.8660254037844386,0.5712682150947923,0.5524353131676196,19
2015-02-03,66800248,190,10,26.4,501.6,Minor purchase,STORABLE,APOSITO DE ESPUMA POLIURETANO-8,E,64946,0,10,1,79282,2015,0.8660254037844386,0.5712682150947923,0.5524353131676196,19
2015-02-03,157028.4,190,10,35.2,668.8,Minor purchase,STORABLE,APOSITO MALLADO C/ PARAFINA-39,E,65894,0,6,1,79110,2015,0.8660254037844386,0.5712682150947923,0.5524353131676196,19
2015-02-04,3533,36,3,1.8513,22.2156,Minor purchase,STORABLE,APOSITO DE HIDROCOLOIDE-9,E,65056,0,4,1,83114,2015,0.8660254037844386,0.72479278722912,0.5667017562911176,20
2015-02-05,281 421,5000,1000,10.461204,52.30602,Minor purchase,STORABLE,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,E,65159,0,6,1,87393,2015,0.8660254037844386,0.8486442574947509,0.5808002734538009,21
2015-02-05,281 421,2000,1000,10.461204,20.922408,Minor purchase,STORABLE,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,E,65159,0,10,1,87237,2015,0.8660254037844386,0.8486442574947509,0.5808002734538009,21
2015-02-05,39001,250,5,5.24537,262.2685,Minor purchase,STORABLE,HIDROGEL-37,E,64932,0,10,1,87235,2015,0.8660254037844386,0.8486442574947509,0.5808002734538009,21
2015-02-05,1626W,1000,200,61.6,308.0,Minor purchase,STORABLE,APÓSITO TRANSPARENTE ADHESIVO-20,E,64750,0,10,1,86640,2015,0.8660254037844386,0.8486442574947509,0.5808002734538009,21
2015-02-05,66800248,60,60,158.4,158.4,Minor purchase,STORABLE,APOSITO DE ESPUMA POLIURETANO-8,E,64946,0,18,1,87405,2015,0.8660254037844386,0.8486442574947509,0.5808002734538009,21
2015-02-05,39001,100,5,5.24537,104.9074,Minor purchase,STORABLE,HIDROGEL-37,E,64932,0,0,2,86213,2015,0.8660254037844386,0.8486442574947509,0.5808002734538009,21
2015-02-05,0037447,1050,350,611.66,1834.98,Minor purchase,TRANSIT,APÓSITO ADHESIVO ABSORBENTE IMPERMEABLE C/ BOLSA-21,E,64898,0,11,118,85464,2015,0.8660254037844386,0.8486442574947509,0.5808002734538009,21
2015-02-05,161445.2,330,10,53.9,1778.7,Minor purchase,STORABLE,APOSITO DE FIBRAS DE POLIACRILATO-3,E,65509,0,0,2,87051,2015,0.8660254037844386,0.8486442574947509,0.5808002734538009,21
2015-02-05,31100,500,10,6.677003,333.85015,Minor purchase,STORABLE,APOSITO DE HIDROCOLOIDE-6,E,65486,0,10,1,87235,2015,0.8660254037844386,0.8486442574947509,0.5808002734538009,21
2015-02-06,3533,402,3,1.8513,248.0742,Minor purchase,STORABLE,APOSITO DE HIDROCOLOIDE-9,E,65056,0,18,1,90366,2015,0.8660254037844386,0.9377521321470804,0.5947266869607634,22
2015-02-09,413568,210,5,29.15,1224.3,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,0,6,1,95254,2015,0.8660254037844386,0.9680771188662043,0.6354323008901774,23
2015-02-09,403770,20,5,12.1,48.4,Minor purchase,TRANSIT,APOSITO DE HIDROFIBRA  / CINTA-18,E,64543,0,4,111,94474,2015,0.8660254037844386,0.9680771188662043,0.6354323008901774,23
2015-02-09,66800248,80,10,26.4,211.2,Minor purchase,STORABLE,APOSITO DE ESPUMA POLIURETANO-8,E,64946,0,6,1,95377,2015,0.8660254037844386,0.9680771188662043,0.6354323008901774,23
2015-02-10,31150,375,5,8.250039,618.752925,Minor purchase,STORABLE,APOSITO DE HIDROCOLOIDE-3,E,65485,0,10,1,97951,2015,0.8660254037844386,0.8978045395707416,0.6486295610349814,24
2015-02-10,1624W,800,400,58.8,117.6,Minor purchase,STORABLE,APÓSITO TRANSPARENTE ADHESIVO-24,E,64751,0,0,2,97871,2015,0.8660254037844386,0.8978045395707416,0.6486295610349814,24
2015-02-10,1385,1200,300,61.722222,246.888888,Minor purchase,STORABLE,APÓSITO ABSORBENTE C/ ADHESIVO-23,E,64765,0,18,1,97992,2015,0.8660254037844386,0.8978045395707416,0.6486295610349814,24
2015-02-11,403770,20,5,12.1,48.4,Minor purchase,TRANSIT,APOSITO DE HIDROFIBRA  / CINTA-18,E,64543,0,12,80,102653,2015,0.8660254037844386,0.7907757369376989,0.6616346182422783,25
2015-02-11,284300,400,50,447.41729,3579.33832,Minor purchase,STORABLE,APÓSITO DE ESPUMA DE POLIURETANO C/ SILICONA-3,E,64488,0,18,1,102523,2015,0.8660254037844386,0.7907757369376989,0.6616346182422783,25
2015-02-11,291010,420,70,493.416,2960.496,Minor purchase,STORABLE,APOSITO MALLADO C/ SILICONA-0,E,64940,0,18,1,102523,2015,0.8660254037844386,0.7907757369376989,0.6616346182422783,25
2015-02-12,403770,5,5,12.1,12.1,Minor purchase,TRANSIT,APOSITO DE HIDROFIBRA  / CINTA-18,E,64543,0,11,63,106042,2015,0.8660254037844386,0.6513724827222223,0.6744436188329455,26
2015-02-12,291010,210,70,493.416,1480.248,Minor purchase,STORABLE,APOSITO MALLADO C/ SILICONA-0,E,64940,0,0,2,105392,2015,0.8660254037844386,0.6513724827222223,0.6744436188329455,26
2015-02-12,413568,250,5,29.15,1457.5,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,0,10,1,105196,2015,0.8660254037844386,0.6513724827222223,0.6744436188329455,26
2015-02-13,MAP190,300,50,319.0,1914.0,Minor purchase,STORABLE,APOSITO C/ CARBON Y PLATA-4,E,73753,0,18,1,109164,2015,0.8660254037844386,0.48530196253108104,0.6870527672236669,27
2015-02-13,413568,30,5,29.15,174.9,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,0,4,1,108933,2015,0.8660254037844386,0.48530196253108104,0.6870527672236669,27
2015-02-13,403770,30,5,12.1,72.6,Minor purchase,TRANSIT,APOSITO DE HIDROFIBRA  / CINTA-18,E,64543,0,11,153,109207,2015,0.8660254037844386,0.48530196253108104,0.6870527672236669,27
2015-02-16,157027.7,330,10,17.27,569.91,Minor purchase,STORABLE,APOSITO MALLADO C/ PARAFINA-38,E,64983,0,13,1,113295,2015,0.8660254037844386,-0.10116832198743204,0.7236440382959124,28
2015-02-16,39001,190,5,5.24537,199.32406,Minor purchase,STORABLE,HIDROGEL-37,E,64932,0,13,1,113231,2015,0.8660254037844386,-0.10116832198743204,0.7236440382959124,28
2015-02-16,39001,325,5,5.24537,340.94905,Minor purchase,STORABLE,HIDROGEL-37,E,64932,0,10,1,113229,2015,0.8660254037844386,-0.10116832198743204,0.7236440382959124,28
2015-02-16,420680,160,10,20.9,334.4,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,E,66071,0,10,1,113237,2015,0.8660254037844386,-0.10116832198743204,0.7236440382959124,28
2015-02-16,413568,100,5,29.15,583.0,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,0,13,1,113238,2015,0.8660254037844386,-0.10116832198743204,0.7236440382959124,28
2015-02-16,403770,5,5,12.1,12.1,Minor purchase,TRANSIT,APOSITO DE HIDROFIBRA  / CINTA-18,E,64543,0,12,124,112313,2015,0.8660254037844386,-0.10116832198743204,0.7236440382959124,28
2015-02-16,31100,560,10,6.677003,373.912168,Minor purchase,STORABLE,APOSITO DE HIDROCOLOIDE-6,E,65486,0,10,1,113229,2015,0.8660254037844386,-0.10116832198743204,0.7236440382959124,28
2015-02-16,400403,20,10,102.803729,205.607458,Minor purchase,STORABLE,SOLUCION P/ LIMPIEZA Y DESCONTAMINACION DE HERIDAS-16,B,41691,0,4,1,113214,2015,0.8660254037844386,-0.10116832198743204,0.7236440382959124,28
2015-02-17,1624W,3200,400,58.8,470.4,Minor purchase,STORABLE,APÓSITO TRANSPARENTE ADHESIVO-24,E,64751,0,18,1,115102,2015,0.8660254037844386,-0.2993631229733582,0.7354170229639855,29
2015-02-17,20415,200,50,254.1,1016.4,Minor purchase,STORABLE,APOSITO DE ESPUMA POLIURETANO / SACRO-11,E,65007,0,0,2,115283,2015,0.8660254037844386,-0.2993631229733582,0.7354170229639855,29
2015-02-17,420680,200,10,20.9,418.0,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ ESPUMA POLIURETANO-12,E,66071,0,0,2,115226,2015,0.8660254037844386,-0.2993631229733582,0.7354170229639855,29
2015-02-17,39001,100,5,5.24537,104.9074,Minor purchase,STORABLE,HIDROGEL-37,E,64932,0,0,2,115224,2015,0.8660254037844386,-0.2993631229733582,0.7354170229639855,29
2015-02-17,413568,200,5,29.15,1166.0,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,0,0,2,115226,2015,0.8660254037844386,-0.2993631229733582,0.7354170229639855,29
2015-02-18,157028.4,200,10,35.2,704.0,Minor purchase,STORABLE,APOSITO MALLADO C/ PARAFINA-39,E,65894,0,18,1,120682,2015,0.8660254037844386,-0.4853019625310808,0.7469720876965552,30
2015-02-18,3533,1002,3,1.8513,618.3342,Minor purchase,STORABLE,APOSITO DE HIDROCOLOIDE-9,E,65056,0,0,2,120196,2015,0.8660254037844386,-0.4853019625310808,0.7469720876965552,30
2015-02-18,1626W,600,200,61.6,184.8,Minor purchase,STORABLE,APÓSITO TRANSPARENTE ADHESIVO-20,E,64750,0,4,1,119979,2015,0.8660254037844386,-0.4853019625310808,0.7469720876965552,30
2015-02-19,281 421,2000,1000,10.461204,20.922408,Minor purchase,STORABLE,APOSITO PARA PEQUEÑAS HERIDAS REDONDO-19,E,65159,0,10,1,123364,2015,0.8660254037844386,-0.651372482722222,0.7583058084785624,31
2015-02-20,1624W,1600,400,58.8,235.2,Minor purchase,STORABLE,APÓSITO TRANSPARENTE ADHESIVO-24,E,64751,0,10,1,127417,2015,0.8660254037844386,-0.7907757369376986,0.7694148268839378,32
2015-02-20,413568,20,5,29.15,116.6,Minor purchase,STORABLE,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE C/ PLATA-3,E,64663,0,4,1,127463,2015,0.8660254037844386,-0.7907757369376986,0.7694148268839378,32
